Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator 
Research in CE (PHD),CE 960D,12552,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Fassman Beck E,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
General Chemistry I,CH 115A,10293,3,3,55,54,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,MWF,4:00:00Z,4:50:00Z,Castle Point,E,230,LEC,NA,,,
General Chemistry I,CH 115B,10294,3,3,55,54,O,2019-08-26Z,2019-12-20Z,Mendez Polanco,2019F,MWF,5:00:00Z,5:50:00Z,Castle Point,P,120,LEC,NA,,,
General Chemistry I,CH 115C,10295,3,3,0,0,X,2019-08-26Z,2019-12-20Z,STAFF,2019F,MWF,5:00:00Z,5:50:00Z,Castle Point,,,LEC,NA,,,
General Chemistry I,CH 115D,10296,3,3,54,53,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,MWF,6:00:00Z,6:50:00Z,Castle Point,C,316,LEC,NA,,,
General Chemistry I,CH 115E,10297,3,3,55,52,O,2019-08-26Z,2019-12-20Z,Muisener P,2019F,MWF,6:00:00Z,6:50:00Z,Castle Point,P,116,LEC,NA,,,
General Chemistry I,CH 115F,10298,3,3,55,54,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,MWF,7:00:00Z,7:50:00Z,Castle Point,P,116,LEC,NA,,,
General Chemistry I,CH 115G,10299,3,3,55,48,O,2019-08-26Z,2019-12-20Z,Mendez Polanco,2019F,W,7:00:00Z,7:50:00Z,Castle Point,M,103,LEC,NA,,,
General Chemistry I,CH 115H,10300,3,3,55,55,C,2019-08-26Z,2019-12-20Z,Kim F,2019F,MWF,8:00:00Z,8:50:00Z,Castle Point,P,116,LEC,NA,,,
General Chemistry I,CH 115I,10301,3,3,55,55,C,2019-08-26Z,2019-12-20Z,Mendez Polanco,2019F,MWF,9:00:00Z,9:50:00Z,Castle Point,P,116,LEC,NA,,,
General Chemistry I,CH 115J,10302,3,3,55,36,O,2019-08-26Z,2019-12-20Z,Alluri S,2019F,MWF,10:00:00Z,10:50:00Z,Castle Point,K,360,LEC,NA,,,
General Chemistry I,CH 115K,10303,3,3,55,35,O,2019-08-26Z,2019-12-20Z,Muisener P,2019F,MWF,10:00:00Z,10:50:00Z,Castle Point,P,120,LEC,NA,,,
General Chemistry I,CH 115S,10307,3,3,51,50,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,W,9:00:00Z,9:50:00Z,Castle Point,B,118,LEC,NA,,,
General Chemistry Lab I,CH 117A,10308,1,1,60,42,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,M,7:00:00Z,9:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117B,10309,1,1,60,59,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,M,10:00:00Z,12:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117C,12248,1,1,55,49,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,T,4:00:00Z,6:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117D,10311,1,1,60,35,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,T,7:00:00Z,9:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117E,10312,1,1,60,49,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,W,4:00:00Z,6:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117F,10313,1,1,60,45,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,W,7:00:00Z,9:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117G,10314,1,1,60,58,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,R,4:00:00Z,6:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117H,10315,1,1,60,60,C,2019-08-26Z,2019-12-20Z,Kim F,2019F,R,7:00:00Z,9:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117I,10316,1,1,60,56,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,R,10:00:00Z,12:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117J,10317,1,1,60,46,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,F,4:00:00Z,6:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117K,10318,1,1,60,19,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,F,7:00:00Z,9:50:00Z,Castle Point,X,203,LAB,NA,,,
General Chemistry Lab I,CH 117L,10319,1,1,60,25,O,2019-08-26Z,2019-12-20Z,Kim F,2019F,F,10:00:00Z,12:50:00Z,Castle Point,X,203,LAB,NA,,,
Seminar in Chemistry and Biology,CH 189A,10321,1,1,50,31,O,2019-08-26Z,2019-12-20Z,Muisener P,2019F,M,7:00:00Z,7:50:00Z,Castle Point,BC,210,LEC,NA,NA,NA,NA
Organic Chemistry I,CH 243A,10322,3,3,56,56,C,2019-08-26Z,2019-12-20Z,Alluri S,2019F,TR,8:00:00Z,8:50:00Z,Castle Point,P,120,LEC,NA,,,
Organic Chemistry I,CH 243B,10323,3,3,56,55,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,TR,8:00:00Z,8:50:00Z,Castle Point,K,360,LEC,NA,,,
Organic Chemistry I,CH 243C,12314,3,3,30,20,O,2019-08-26Z,2019-12-20Z,Alluri S,2019F,TR,7:00:00Z,7:50:00Z,Castle Point,K,360,LEC,NA,,,
Organic Chemistry I,CH 243RA,10324,0,0,28,28,C,2019-08-26Z,2019-12-20Z,Alluri S,2019F,W,5:00:00Z,5:50:00Z,Castle Point,BC,203,RCT,NA,,,
Organic Chemistry I,CH 243RB,10325,0,0,28,28,C,2019-08-26Z,2019-12-20Z,Sharma A,2019F,W,6:00:00Z,6:50:00Z,Castle Point,BC,219,RCT,NA,,,
Organic Chemistry I,CH 243RC,10326,0,0,28,30,C,2019-08-26Z,2019-12-20Z,Alluri S,2019F,W,7:00:00Z,7:50:00Z,Castle Point,B,714,RCT,NA,,,
Organic Chemistry I,CH 243RD,10327,0,0,28,27,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,W,8:00:00Z,8:50:00Z,Castle Point,BC,203,RCT,NA,,,
Organic Chemistry I,CH 243RE,12315,0,0,30,18,O,2019-08-26Z,2019-12-20Z,Alluri S,2019F,W,8:00:00Z,8:50:00Z,Castle Point,E,231,RCT,NA,,,
Organic Chemistry Lab I,CH 245A,10328,1,1,23,17,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,M,5:00:00Z,8:50:00Z,Castle Point,X,219,LAB,NA,,,
Organic Chemistry Lab I,CH 245B,10329,1,1,23,11,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,T,10:00:00Z,13:50:00Z,Castle Point,X,219,LAB,NA,,,
Organic Chemistry Lab I,CH 245C,10330,1,1,23,14,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,R,10:00:00Z,13:50:00Z,Castle Point,X,219,LAB,NA,,,
Organic Chemistry Lab I,CH 245D,10331,1,1,23,23,C,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,F,10:00:00Z,13:50:00Z,Castle Point,X,219,LAB,NA,,,
Organic Chemistry Lab I,CH 245E,10332,1,1,23,24,C,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,T,4:00:00Z,7:50:00Z,Castle Point,X,219,LAB,NA,,,
Organic Chemistry Lab I,CH 245F,12317,1,1,23,23,C,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,M,10:00:00Z,13:50:00Z,Castle Point,X,219,LAB,NA,,,
Instr. Anal-Spect/Chrom.,CH 362A,10333,4,4,30,20,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,MWF,5:00:00Z,5:50:00Z,Castle Point,P,220,LEC,NA,,,
Instr. Anal-Spect/Chrom.,CH 362CA,12594,4,4,30,1,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Instr. Anal-Spect/Chrom.,CH 362LA,10334,0,0,10,7,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,M,10:00:00Z,13:50:00Z,Castle Point,X,429,LAB,NA,,,
Instr. Anal-Spect/Chrom.,CH 362LB,10335,0,0,10,6,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,T,10:00:00Z,13:50:00Z,Castle Point,X,429,LAB,NA,,,
Instr. Anal-Spect/Chrom.,CH 362LC,10336,0,0,10,6,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,F,10:00:00Z,13:50:00Z,Castle Point,X,429,LAB,NA,,,
Chemical Dynamics,CH 421A,10337,4,4,30,10,O,2019-08-26Z,2019-12-20Z,Zhang Y,2019F,MWF,6:00:00Z,6:50:00Z,Castle Point,BC,304,LEC,NA,,E   234,
Chemical Dynamics,CH 421LA,10338,0,0,15,7,O,2019-08-26Z,2019-12-20Z,Zhang Y,2019F,M,10:00:00Z,13:50:00Z,Castle Point,X,523,LAB,NA,,E   234,
Chemical Dynamics,CH 421LB,10339,0,0,15,3,O,2019-08-26Z,2019-12-20Z,Zhang Y,2019F,T,10:00:00Z,13:50:00Z,Castle Point,X,523,LAB,NA,,E   234,
Chemistry Project I,CH 496A,10340,3,3,20,3,O,2019-08-26Z,2019-12-20Z,Kumbaraci N,2019F,M,12:00:00Z,12:50:00Z,Castle Point,E,231,L/L,NA,NA,NA,NA
Chemistry Project II,CH 497A,10341,3,3,20,0,O,2019-08-26Z,2019-12-20Z,Kumbaraci N,2019F,M,12:00:00Z,12:50:00Z,Castle Point,,,L/L,NA,NA,NA,NA
Chemical Research I,CH 498A,10342,3,3,20,9,O,2019-08-26Z,2019-12-20Z,Kumbaraci N,2019F,M,12:00:00Z,12:50:00Z,Castle Point,E,231,LAB,NA,NA,NA,NA
Chemical Research II,CH 499A,10343,3,3,20,2,O,2019-08-26Z,2019-12-20Z,Kumbaraci N,2019F,M,12:00:00Z,12:50:00Z,Castle Point,BC,312,LAB,NA,NA,NA,NA
Advanced Physical Chem.,CH 520A,12249,3,3,20,0,X,2019-08-26Z,2019-12-20Z,STAFF,2019F,W,14:30:00Z,17:00:00Z,Castle Point,,,LEC,NA,NA,NA,NA
Spectra and Structure,CH 550A,10345,3,3,30,6,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,T,14:30:00Z,17:00:00Z,Castle Point,X,119,LEC,NA,,,
Instrumental Methods of Analysis,CH 561A,10346,3,3,16,16,C,2019-08-26Z,2019-12-20Z,STAFF,2019F,W,14:30:00Z,17:00:00Z,Castle Point,X,105,LAB,NA,NA,NA,NA
Biochemistry I,CH 580A,10347,3,3,9,9,C,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,R,14:30:00Z,17:00:00Z,Castle Point,E,222,LEC,NA,NA,NA,NA
Biochemistry I,CH 580A-U,10348,3,3,35,41,C,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,R,14:30:00Z,17:00:00Z,Castle Point,E,222,LEC,NA,,,
Adv Organ & Heterocyclic Chem,CH 640A,10349,3,3,20,11,O,2019-08-26Z,2019-12-20Z,Manchand P,2019F,M,14:15:00Z,16:45:00Z,Castle Point,X,106,LEC,NA,,,
Chem of Natural Products,CH 646A,10350,3,3,20,13,O,2019-08-26Z,2019-12-20Z,Singh S,2019F,T,14:30:00Z,17:00:00Z,Castle Point,X,218A,LEC,NA,,,
Advanced Instrumental Analysis,CH 660A,10351,3,3,20,6,O,2019-08-26Z,2019-12-20Z,Singh S,2019F,M,14:15:00Z,16:45:00Z,Castle Point,X,105,LEC,NA,,,
Modern Mass Spectrometry,CH 666A,10352,3,3,20,13,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,R,14:30:00Z,17:00:00Z,Castle Point,X,218B,LEC,NA,,,
Polymer Functionality,CH 674A,10353,3,3,20,13,O,2019-08-26Z,2019-12-20Z,Liang J,2019F,M,11:00:00Z,13:20:00Z,Castle Point,X,119,LEC,NA,,,
Seminar in Chemistry,CH 700A,10354,0,0,50,13,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,W,10:00:00Z,11:30:00Z,Castle Point,E,231,SEM,NA,,,
Curricular Practical Training,CH 701A,10355,1,1,999,1,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,OFF,TBA,PRA,NA,,,
Curricular Practical Training,CH 701B,10356,1,1,999,0,O,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,OFF,TBA,PRA,NA,,,
Special Rsrch Prob in Chemistry,CH 800A,10357,1,6,999,3,O,2019-08-26Z,2019-12-20Z,Sharma A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Chemistry,CH 800B,10358,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Muisener P,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Chemistry,CH 800C,12536,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Chemistry,CH 800D,12539,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Windsor W,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Chemistry,CH 800E,12592,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Liang J,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Rsrch Prob in Chemistry,CH 800F,12611,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Perekatt A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801A,10359,1,6,999,1,O,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801B,10360,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Windsor W,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801C,10361,1,6,999,1,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801D,10362,1,6,999,1,O,2019-08-26Z,2019-12-20Z,Iwanicki M,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801F,10363,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Liang J,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in Chemistry,CH 801G,10364,1,6,999,1,O,2019-08-26Z,2019-12-20Z,Perekatt A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Masters Thesis Chem/ChemicalBiol,CH 900A,10365,1,10,999,0,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Masters Thesis Chem/ChemicalBiol,CH 900B,10366,1,10,999,0,O,2019-08-26Z,2019-12-20Z,Zhang Y,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Masters Thesis Chem/ChemicalBiol,CH 900C,12584,1,10,0,1,C,2019-08-26Z,2019-12-20Z,Lee W,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960A,10367,1,60,999,0,O,2019-08-26Z,2019-12-20Z,Paliwal S,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960B,10368,1,60,999,2,O,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960C,10369,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Tolias P,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960D,10370,1,60,999,1,O,2019-08-26Z,2019-12-20Z,Zhang Y,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960E,10371,1,60,999,3,O,2019-08-26Z,2019-12-20Z,Attygalle A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960F,12409,1,60,999,3,O,2019-08-26Z,2019-12-20Z,Iwanicki M,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960H,12487,1,60,0,4,C,2019-08-26Z,2019-12-20Z,Liang J,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Dissertatn in Chem/ChemicalBiol,CH 960I,12497,1,12,0,1,C,2019-08-26Z,2019-12-20Z,Sharma A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Process Analysis,CHE 210A,10372,3,3,40,18,O,2019-08-26Z,2019-12-20Z,Lawal A,2019F,M,11:00:00Z,12:15:00Z,Castle Point,P,220,LEC,NA,,,
Chemical Eng. Thermodynamics,CHE 234A,10373,4,4,35,13,O,2019-08-26Z,2019-12-20Z,Kim J,2019F,W,5:00:00Z,5:50:00Z,Castle Point,BC,221,LEC,NA,,,
Chemical Eng. Thermodynamics,CHE 234RA,10374,0,0,40,13,O,2019-08-26Z,2019-12-20Z,Kim J,2019F,T,9:30:00Z,11:20:00Z,Castle Point,D,242,RCT,NA,,,
Separation Operations,CHE 332A,10375,3,3,60,59,O,2019-08-26Z,2019-12-20Z,Akcora P,2019F,T,10:25:00Z,12:15:00Z,Castle Point,B,517,LEC,NA,,,
Fluid Mechanics,CHE 336A,10376,3,3,60,59,O,2019-08-26Z,2019-12-20Z,Lee S,2019F,MW,8:00:00Z,8:50:00Z,Castle Point,BC,104,LEC,NA,NA,NA,NA
Heat and Mass Transfer,CHE 342A,10377,3,3,60,59,O,2019-08-26Z,2019-12-20Z,Lawal A,2019F,T,9:00:00Z,10:15:00Z,Castle Point,K,360,LEC,NA,,E   234,
Engineering Design VII,CHE 423A,10378,3,3,60,50,O,2019-08-26Z,2019-12-20Z,Zhao Y,2019F,TR,10:30:00Z,12:20:00Z,Castle Point,X,120,L/L,NA,,,
Engineering Design VII,CHE 423X3,10379,3,3,45,2,O,2019-08-26Z,2019-12-20Z,Williams E,2019F,TR,10:30:00Z,12:20:00Z,Castle Point,GS,216,L/L,NA,,,
Chemical Engineering Laboratory,CHE 432A,10380,2,2,32,32,C,2019-08-26Z,2019-12-20Z,Kovenklioglu S,2019F,M,7:00:00Z,7:50:00Z,Castle Point,BC,110,LEC,NA,,,
Chemical Engineering Laboratory,CHE 432LA,10381,0,0,16,16,C,2019-08-26Z,2019-12-20Z,Kovenklioglu S,2019F,M,8:00:00Z,11:50:00Z,Castle Point,X,004,LAB,NA,,,
Chemical Engineering Laboratory,CHE 432LB,10382,0,0,16,16,C,2019-08-26Z,2019-12-20Z,Kovenklioglu S,2019F,F,8:00:00Z,11:50:00Z,Castle Point,X,004,LAB,NA,,,
Research in CHE I,CHE 498CA,12582,3,3,0,1,C,2019-08-26Z,2019-12-20Z,Christodoulatos,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Chem/Material Eng Thermodynamics,CHE 521A,10384,3,3,0,0,C,2019-08-26Z,2019-12-20Z,Du H,2019F,W,5:00:00Z,7:30:00Z,Castle Point,NB,101,LEC,NA,NA,NA,NA
Intro to Pharma. Manufacturing,CHE 530A,10385,3,3,0,3,O,2019-08-26Z,2019-12-20Z,Shnayder L,2019F,M,11:00:00Z,13:30:00Z,Castle Point,E,229,LEC,NA,NA,NA,NA
Intro to Pharma. Manufacturing,CHE 530WS,12078,3,3,0,12,O,2019-08-26Z,2019-12-20Z,Pratt E,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Process Safety Management,CHE 531WS,12080,3,3,0,7,O,2019-08-26Z,2019-12-20Z,Tortoriello W,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Good Manuf. Practice in Pharm.,CHE 535WS,12081,3,3,0,8,O,2019-08-26Z,2019-12-20Z,Shnayder L,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Validation in Life Sci. Mfg.,CHE 540A,10386,3,3,0,2,O,2019-08-26Z,2019-12-20Z,Shnayder L,2019F,W,14:30:00Z,17:00:00Z,Castle Point,E,229,LEC,NA,NA,NA,NA
Biofuels Engineering Technology,CHE 580A,10387,3,3,35,23,O,2019-08-26Z,2019-12-20Z,Zhao Y,2019F,W,14:15:00Z,16:45:00Z,Castle Point,B,118,LEC,NA,,,
Biofuels Engineering Technology,CHE 580A-U,10388,3,3,35,32,O,2019-08-26Z,2019-12-20Z,Zhao Y,2019F,W,14:15:00Z,16:45:00Z,Castle Point,B,118,LEC,NA,,,
Chem. Eng Thermodynamics,CHE 620A,10389,3,3,30,13,O,2019-08-26Z,2019-12-20Z,Podkolzin S,2019F,M,14:15:00Z,16:45:00Z,Castle Point,X,414,LEC,NA,,,
Mfg&Pack.of Pharm. OSD Products,CHE 628WS,12084,3,3,0,0,O,2019-08-26Z,2019-12-20Z,Pratt E,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Thry Transport Processes,CHE 630A,10390,3,3,5,1,O,2019-08-26Z,2019-12-20Z,Kalyon D,2019F,R,11:25:00Z,13:55:00Z,Castle Point,E,111,LEC,NA,,,
Dsgn. of Control Systems,CHE 661WS,11885,3,3,30,2,O,2019-08-26Z,2019-12-20Z,Favetta D,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Colloids & Interfacial Phenomena,CHE 682A,12243,3,3,8,12,C,2019-08-26Z,2019-12-20Z,Carnali J,2019F,T,14:30:00Z,17:00:00Z,Castle Point,BC,532B,LEC,NA,,,
Bio/Nano Photonics,CHE 695A,10392,3,3,8,0,X,2019-08-26Z,2019-12-20Z,Tian F,2019F,M,8:00:00Z,10:45:00Z,Castle Point,,,LEC,NA,,,
Seminar in Chem. Engr'g,CHE 700A,10393,0,0,40,7,O,2019-08-26Z,2019-12-20Z,Kim J,2019F,F,7:00:00Z,7:50:00Z,Castle Point,E,230,SEM,NA,,,
Curricular Practical Training,CHE 707A,10394,1,3,999,0,O,2019-08-26Z,2019-12-20Z,Kovenklioglu S,2019F,TBA,NA,NA,Castle Point,OFF,TBA,LEC,NA,,,
Special Prob Chemical Engineerng,CHE 800A,10395,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Staff A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob Chemical Engineerng,CHE 800B,10396,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Kalyon D,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob Chemical Engineerng,CHE 801A,10397,1,6,0,0,C,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Spec Prob CHE (Deg CHE),CHE 802A,10398,1,6,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Thesis in CHE (MEN),CHE 900A,12147,1,10,0,0,C,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
CHE Dsgn Proj (Deg CHE),CHE 950A,10399,1,15,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in CHE (PHD),CHE 960A,12148,1,60,999,1,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in CHE (PHD),CHE 960B,10400,1,60,999,1,O,2019-08-26Z,2019-12-20Z,Lee S,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in CHE (PHD),CHE 960C,12485,1,12,0,1,C,2019-08-26Z,2019-12-20Z,Lawal A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in CHE (PHD),CHE 960D,12486,1,12,0,1,C,2019-08-26Z,2019-12-20Z,Kim J,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in CHE (PHD),CHE 960E,12504,1,12,0,1,C,2019-08-26Z,2019-12-20Z,Akcora P,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Research in CHE (PHD),CHE 960F,12551,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Lee W,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Clark Scholar Seminar I,CLK 183A,10401,1,1,11,11,C,2019-08-26Z,2019-12-20Z,Dominick P,2019F,R,10:00:00Z,10:50:00Z,Castle Point,E,231,SEM,NA,NA,NA,NA
Construction Engr'g I,CM 501A,12283,3,3,30,30,C,2019-08-26Z,2019-12-20Z,Lester H,2019F,M,14:15:00Z,16:45:00Z,Castle Point,P,216,LEC,NA,NA,NA,NA
Construction Engr'g I,CM 501WS,11886,3,3,24,0,X,2019-08-26Z,2019-12-20Z,Chen X,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Construction Engr'g II,CM 502A,10402,3,3,25,26,C,2019-08-26Z,2019-12-20Z,Varma K,2019F,M,11:00:00Z,13:30:00Z,Castle Point,B,514,LEC,NA,NA,NA,NA
Construction Engr'g II,CM 502B,12284,3,3,25,23,O,2019-08-26Z,2019-12-20Z,Varma K,2019F,M,14:15:00Z,16:45:00Z,Castle Point,E,231,LEC,NA,NA,NA,NA
Comp Appl in the Const'n Process,CM 506WS,11887,3,3,50,12,O,2019-08-26Z,2019-12-20Z,Sidawi R,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Transportation Engineering,CM 508A,10403,3,3,20,7,O,2019-08-26Z,2019-12-20Z,Olivo C,2019F,F,8:00:00Z,10:30:00Z,Castle Point,E,231,LEC,NA,NA,NA,NA
Construction Ind. Fundamentals,CM 510WS,11888,3,3,50,31,O,2019-08-26Z,2019-12-20Z,Hunter D,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Prob in Heavt Construct,CM 512A,10404,3,3,24,0,X,2019-08-26Z,2019-12-20Z,Varma K,2019F,R,11:30:00Z,14:00:00Z,Castle Point,,,LEC,NA,NA,NA,NA
Unmanned Aerial Sys-Tech & Apps,CM 532A,12285,3,3,30,7,O,2019-08-26Z,2019-12-20Z,Bunin B,2019F,T,11:30:00Z,14:00:00Z,Castle Point,BC,532B,LEC,NA,NA,NA,NA
Quality Mgmt & Constrct Perfrmnc,CM 542A,10405,3,3,4,6,C,2019-08-26Z,2019-12-20Z,Salvatoriello V,2019F,W,11:30:00Z,14:00:00Z,Castle Point,N/A,N/A,LEC,NA,NA,NA,NA
Environ Impact Analy & Planning,CM 545WS,12068,3,3,0,2,O,2019-08-26Z,2019-12-20Z,Braida W,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,NA,NA,NA
Constr. Contract Law II,CM 551A,10406,3,3,24,20,O,2019-08-26Z,2019-12-20Z,Valenti J,2019F,W,14:30:00Z,17:00:00Z,Castle Point,P,120,LEC,NA,NA,NA,NA
