Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator
Big Data Technologies,BIA 678A,10025,3,3,35,35,C,2019-08-26Z,2019-12-20Z,Belanger D,2019F,T,14:30:00Z,17:00:00Z,Castle Point,X,218B,LEC,NA,,,
Big Data Technologies,BIA 678B,10026,3,3,40,40,C,2019-08-26Z,2019-12-20Z,Belanger D,2019F,M,14:15:00Z,16:45:00Z,Castle Point,B,430,LEC,NA,,,
Big Data Technologies,BIA 678ZA,12151,3,3,35,13,O,2019-09-05Z,2019-12-05Z,Vazacopoulos A,2019F,R,12:20:00Z,15:05:00Z,AC,OFF,CLOSED,LEC,NA,NA,NA,NA
Practicum in Analytics,BIA 686A,10027,3,3,40,30,O,2019-08-26Z,2019-12-20Z,Asakiewicz C,2019F,M,11:00:00Z,13:30:00Z,Castle Point,BC,HFSL,LEC,NA,,,
Curricular Practical Training,BIA 702A,10029,1,3,999,19,O,2019-08-26Z,2019-12-20Z,Stohr E,2019F,TBA,NA,NA,Castle Point,OFF,TBA,LEC,NA,,,
Special Problems in BIA (MS),BIA 800A,10030,1,6,30,2,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Problems in BIA (MS),BIA 800B,10031,1,6,999,0,X,2019-08-26Z,2019-12-20Z,Gandomi A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Topics in BIA/Blockchain,BIA 810A,12152,3,60,35,18,O,2019-08-26Z,2019-12-20Z,Dehnad K,2019F,R,14:30:00Z,17:00:00Z,Castle Point,NB,101,LEC,NA,,,
Biology and Biotechnology,BIO 281A,10032,3,3,30,27,O,2019-08-26Z,2019-12-20Z,Perekatt A,2019F,W,14:15:00Z,15:55:00Z,Castle Point,X,218A,LEC,NA,,,
Biology and Biotechnology,BIO 281RA,10033,0,0,30,27,O,2019-08-26Z,2019-12-20Z,Taddeo B,2019F,W,15:55:00Z,16:45:00Z,Castle Point,X,218A,RCT,NA,,,
Fund of Computational Biology,BIO 368A,10034,3,3,20,0,X,2019-08-26Z,2019-12-20Z,Staff A,2019F,T,11:00:00Z,13:30:00Z,Castle Point,,,LEC,NA,,BIO 281,
Fund of Computational Biology,BIO 368CA,12593,3,3,0,1,C,2019-08-26Z,2019-12-20Z,Wong K,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,BIO 281,
Cell Biology,BIO 381A,10035,4,4,96,73,O,2019-08-26Z,2019-12-20Z,Iwanicki M,2019F,MWF,4:00:00Z,4:50:00Z,Castle Point,E,222,LEC,NA,,CH  281,
Cell Biology,BIO 381LA,10036,0,0,24,19,O,2019-08-26Z,2019-12-20Z,Cattabiani T,2019F,R,4:00:00Z,6:50:00Z,Castle Point,X,118,LAB,NA,,CH  281,
